Week,TRx_Quantity,NRx_Quantity
2015-10-09,1662377,739775
2015-10-02,1686013,754788
2015-09-25,1602639,722177
2015-09-18,1622451,721023
2015-09-11,1452539,584290
2015-09-04,1679764,732958
2015-08-28,1499539,657910
2015-08-21,1561681,705736
2015-08-14,1544315,672834
2015-08-07,1584276,697337
2015-07-31,1487383,649697
2015-07-24,1486089,654325
2015-07-17,1499034,671400
2015-07-10,1442936,620489
2015-07-03,1418668,608607
2015-06-26,1417957,643661
2015-06-19,1437105,619332
2015-06-12,1435386,642873
2015-06-05,1437426,642624
2015-05-29,1220494,514625
2015-05-22,1385216,608520
2015-05-15,1409281,629371
2015-05-08,1420115,637845
2015-05-01,1338316,589004
2015-04-24,1285050,553155
2015-04-17,1333478,588453
2015-04-10,1315102,565232
2015-04-03,1250639,555518
2015-03-27,1266164,585304
2015-03-20,1286340,604474
2015-03-13,1304061,612869
2015-03-06,1284388,597521
2015-02-27,1256831,601442
2015-02-20,1190534,544566
2015-02-13,1233321,572708
2015-02-06,1225546,573959
2015-01-30,1156392,539509
2015-01-23,1131062,544697
2015-01-16,1173937,534612
2015-01-09,1162935,515130
2015-01-02,1117802,426801
2014-12-26,1003498,411373
2014-12-19,1252380,574242
2014-12-12,1238748,581443
2014-12-05,1254271,528642
2014-11-28,1055150,437171
2014-11-21,1149781,505465
2014-11-14,1124258,503797
2014-11-07,1163739,518964
2014-10-31,1144818,521328
2014-10-24,1107916,495891
2014-10-17,1083092,490895
2014-10-10,1089609,484611
2014-10-03,1108377,493005
2014-09-26,1053596,466178
2014-09-19,1084540,495240
2014-09-12,1099826,494703
2014-09-05,1020849,440576
2014-08-29,1112366,505410
2014-08-22,1021144,487624
2014-08-15,1017653,472510
2014-08-08,995981,466346
2014-08-01,958239,445284
2014-07-25,961850,447554
2014-07-18,977206,461880
2014-07-11,1001227,456857
2014-07-04,896267,410307
2014-06-27,947587,446570
2014-06-20,911383,421446
2014-06-13,900352,425344
2014-06-06,936242,447649
2014-05-30,818437,350990
2014-05-23,862815,402164
2014-05-16,874182,413323
2014-05-09,850512,391932
2014-05-02,858572,400862
2014-04-25,814287,376100
2014-04-18,807542,373320
2014-04-11,797142,369820
2014-04-04,806676,372065
2014-03-28,803642,384406
2014-03-21,769437,367244
2014-03-14,745637,345091
2014-03-07,797104,366153
2014-02-28,800140,398966
2014-02-21,768018,372411
2014-02-14,740895,328633
2014-02-07,744435,337019
2014-01-31,736554,332074
2014-01-24,713779,325051
2014-01-17,732419,324535
2014-01-10,687638,298323
2014-01-03,715815,255794
2013-12-27,644189,250385
2013-12-20,777906,358276
2013-12-13,754701,345006
2013-12-06,763074,331650
2013-11-29,656950,277569
2013-11-22,752879,370089
2013-11-15,746917,364310
2013-11-08,742761,356899
2013-11-01,749359,362038
2013-10-25,755023,383178
2013-10-18,735267,379205
2013-10-11,706033,367293
2013-10-04,717511,381342
2013-09-27,700315,373292
2013-09-20,698464,379121
2013-09-13,665803,357244
2013-09-06,595420,306400
2013-08-30,624766,353341
2013-08-23,611963,347544
2013-08-16,585931,318734
2013-08-09,596880,344792
2013-08-02,577814,341082
2013-07-26,538308,321141
2013-07-19,545623,310523
2013-07-12,514302,295404
2013-07-05,470932,294957
2013-06-28,521504,324909
2013-06-21,502117,305051
2013-06-14,494264,321771
2013-06-07,476695,310928
2013-05-31,396217,246272
